"","X","Q8","STEM_Non.STEM","satacad","satlife","satoverall","respect9","intclimate10","socclimate11","collegial12","sameuniv13","samefield14","recommend15","curriculum16","teaching17","advising18","candidacy19","interdisc20","employment21","progqual22","Q21","Q23","Q24","htopicadv","hresearchadv","hwritingadv","hacadadv","hnonacadadv","hemployadv","Q32","Q38","Q39","Q40","Q42","Q45","Q46","Q47","Q48","Q49","Q90_1","Q99","sameuniv91","samefield92","recommend93","curriculum94","teaching95","advising96","candidacy97","interdisc98","employment99","progqual100","respect101","intclimate102","socclimate103","collegial104","workcomm","family","availfac","progreq","coursesched","immigration","Sex_ANOVA_Code","Citizenship_ANOVA_Code","Hispanic_Latino_ANOVA_Code","Race_Ethnicy_ANOVA_Code","Underrepresented"
"134",134,1,0,3,3,3,5,3,5,5,3,2,2,3,3,3,3,3,1,3,1,1,0,3,3,2,1,1,1,1,1,3,0,0,0,10,1,22,5,2,0.938172043010753,3,2,2,3,3,3,3,3,2,3,5,4,4,5,1,1,1,1,1,1,1,1,2,5,1
"135",135,1,1,4,3,4,5,5,4,4,4,4,5,4,4,4,4,4,4,4,1,1,1,4,4,4,0,4,4,1,0,3.34117647058824,0,1,5,6,0,0,1,4,1,4,4,5,4,4,4,3,3,4,4,5,4,4,4,3,2,2,2,2,0,2,1,2,1,1
"136",136,3,1,5,5,5,4,5,4,5,4,4,4,4,5,5,5,5,5,5,1,1,1,4,4,4,4,4,4,0,1,4,0,1,7,13,0,3,1,1,1,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,2,1,1,2,1,2,1,1
"137",137,6,1,4,4,4,4,4,4,5,4,4,4,4,4,3,3,4,2,4,1,1,0,3,3,3,4,3,4,0,1,3,0,1,3,7,1,1,3,1,1,4,5,4,4,3,4,3,4,2,4,4,4,4,5,1,1,1,2,1,0,2,1,2,1,1
"138",138,6,1,5,4,5,4,4,3,5,4,4,4,4,5,4,4,5,3,4,2,1,1,4,4,4,3,3,4,1,1,3,1,1,10,30,1,8,2,7,1,4,4,4,4,5,4,4,5,4,4,4,4,4,5,0,0,1,2,2,1,1,1,2,5,1
"139",139,2,0,4,3,4,4,4,3,3,4,4,4,4,5,4,3,4,2,4,0,1,0,4,4,4,4,4,4,0,1,2,1,1,0,3,1,4,1,1,1,4,4,3,4,5,4,4,4,3,4,3,3,3,3,3,2,2,2,2,1,2,1,2,1,1
"140",140,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,4,4,4,4,4,4,1,1,4,0,1,2,6,1,18,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,1,1,2,1,2,1,1
"141",141,1,0,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,5,5,0,1,1,4,4,3,3,0,3,1,1,4,0,0,2,12,1,0,0,2,1,5,5,5,5,5,4,3,3,4,4,4,4,4,4,2,0,0,0,0,0,1,1,2,1,1
"142",142,1,0,5,4,4,5,5,5,5,5,5,5,5,5,4,4,3,4,4,1,1,0,4,3,4,3,2,2,1,1,4,1,0,1,8,1,0,1,2,0,4,5,4,4,5,4,4,2,4,4,5,5,5,5,1,3,2,1,1,1,2,1,2,5,1
"143",143,1,1,4,3,4,5,4,3,4,5,5,5,4,4,5,5,5,4,4,1,0,0,4,4,4,3,0,2,1,1,3,1,1,1,6,1,2,2,2,1,5,5,5,4,4,5,5,5,3,4,5,4,4,4,1,1,1,1,1,1,1,1,2,5,1
"144",144,3,1,4,3,3,3,4,3,3,3,2,3,3,4,2,3,4,2,3,1,1,0,4,4,4,4,1,1,1,0,3.34117647058824,0,1,10,3,1,3,1,2,1,3,2,4,3,3,4,3,4,3,3,3,3,3,3,3,2,2,1,1,1,2,1,2,5,1
"145",145,1,1,4,5,4,4,4,3,4,3,4,4,3,3,4,4,3,1,3,1,1,1,4,4,4,3,1,2,0,1,4,1,1,1,3,1,5,0,2,1,3,4,4,3,3,4,4,1,1,3,4.01282051282051,4.07435897435897,3.94871794871795,4.32307692307692,2,2,2,2,1,0,2,1,2,1,1
"146",146,1,1,4,5,5,4,4,5,5,5,5,5,4,4,5,5,3,3,4,1,1,0,4,4,4,4,3,4,1,1,4,1,1,3,1,0,1,0,7,1,4,4,5,4,4,5,5,4,5,5,4,5,5,5,2,2,1,1,1,1,1,1,2,6,1
"147",147,1,1,4,3,3,3,4,4,4,4,5,4,4,3,4,4,3,4,4,1,1,1,4,4,4,4,0,4,1,1,3,0,1,3,5,1,2,2,4,1,4,5,4,3.61282051282051,3.78205128205128,3.65217391304348,3.59125964010283,3.54241645244216,3.13624678663239,3.71794871794872,4.01282051282051,4.07435897435897,3.94871794871795,4.32307692307692,1.82278481012658,1.53452685421995,1.56598984771574,1.54936708860759,1.26075949367089,0.754430379746835,2,1,2,5,1
"148",148,6,1,5,5,5,4,5,5,4,5,5,5,3,3,3,3,4,1,3,1,1,0,4,4,3,3,0,0,1,1,4,1,1,3,5,1,5,2,2,1,5,5,5,3,3,3,3,4,2,3,4,4,4,4,1,2,1,1,1,1,1,1,2,4,1
"149",149,1,1,4,4,4,5,4,4,5,4,4,4,4,4,4,4,5,3,4,1,1,1,4,4,4,3,3,3,0,1,3,1,1,1,15,1,3,0,1,1,4,4,4,4,4,4,4,5,3,4,4,4,4,5,2,1,1,2,2,1,1,1,2,5,1
"150",150,5,0,4,3,4,4,4,3,4,5,4,3,3,2,2,2,5,2,3,1,1,0,3,4,2,2,2,0,0.608695652173913,1,3,1,1,0,23,1,18,2,2,1,5,4,3,3,3,2,2,5,2,3,4,4,3,4,2,2,2,1,1,1,1,1,2,5,1
"151",151,1,1,5,5,5,5,5,5,5,4,5,5,4,4,4,4,5,4,5,1,1,1,4,4,4,4,4,4,1,1,3,1,1,10,4,1,3,1,1,1,4,5,5,4,5,5,5,5,4,5,5,5,5,5,2,1,1,1,1,0,2,1,2,5,1
"152",152,1,1,4,3,3,2,3,4,4,4,3,3,4,3,4,5,4,3,3,1,1,1,4,4,4,4,3,4,1,1,4,0,1,0,25,1,3,0,4,1,4,3,3,3,3,5,5,3,3,3,2,3,4,4,1,1,1,3,1,1,2,1,2,5,1
"153",153,1,0,4,4,4,5,4,5,5,4,5,5,5,5,4,4,4,4,4,2,1,1,4,4,4,4,4,4,1,0,3.34117647058824,1,0,2,4,2,0,0,5,1,4,5,5,5,5,5,5,4,4,4,5,5,5,5,3,3,1,1,1,1,2,1,2,5,1
"154",154,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,1,1,4,4,4,4,4,4,0,1,3,1,0,5,9,0,1,2,1,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5,2,2,1,1,1,0,2,1,2,5,1
"155",155,1,0,3,3,3,4,4,4,4,3,5,4,3,3,3,3,2,4,3,2,1,0,4,4,4,4,0,4,1,1,4,1,0,0,10,1,1,0,2,1,3,5,4,3,3,3,3,2,4,3,4,4,4,4,2,0,2,2,2,0,2,1,2,5,1
"156",156,1,1,3,4,4,4,3,4,4,3,5,3,3,3,2,4,3,3,3,1,1,0,4,4,4,4,0,0,0,1,4,0,1,2,5,1,4,0,1,0,3,5,3,3.61282051282051,3.78205128205128,3.65217391304348,3.59125964010283,3.54241645244216,3.13624678663239,3.71794871794872,4.01282051282051,4.07435897435897,3.94871794871795,4.32307692307692,1.82278481012658,1.53452685421995,1.56598984771574,1.54936708860759,1.26075949367089,0.754430379746835,2,1,2,5,1
"157",157,1,1,5,5,5,3,4,4,4,5,5,5,2,3,3,3,5,2,3,1,1,1,4,4,4,4,4,4,0,1,2,1,1,3,0,2,1,1,1,1,5,5,5,2,3,3,3,5,2,3,3,4,4,4,2,2,1,2,2,3,1,2,2,5,1
"158",158,1,1,3,3,3,2,2,3,2,2,4,2,4,4,3,4,3,2,3,2,1,0,4,3,2,0,2,2,1,1,4,1,0,0,1,0,1,1,2.49051490514905,1,2,4,2,4,4,3,4,3,2,3,2,2,3,2,1,1,3,2,2,1,1,1,2,4,1
"159",159,1,1,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,1,1,1,4,4,4,4,4,4,1,0,3.34117647058824,0,1,0,10,1,11,1,2,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,2,2,1,1,1,2,2,2,1,1
"160",160,4,1,5,4,5,5,5,5,5,5,4,5,4,4,4,4,3,4,4,1,1,1,4,4,4,4,4,4,1,1,4,0,1,4,3,1,0,2,3,0.938172043010753,4,4,4,4,4,4,4,4,4,4,5,5,5,5,1,1,1,1,1,1,2,1,2,1,1
"161",161,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,3,5,1,1,0,4,3,3,4,0,0,1,1,4,1,1,3,10,1,0,3,1,1,5,5,5,5,5,4,4,3,3,5,5,5,5,5,1,1,1,1,1,1,1,1,2,5,1
